# 2 1756 2 1756
2 	 chr4 	 2 	 chr4 	 2
1 	 chr4 	 42 	 chr4 	 69
1 	 chr4 	 43 	 chr4 	 60
1 	 chr4 	 45 	 chr4 	 88
1 	 chr4 	 46 	 chr4 	 46
1 	 chr4 	 46 	 chr4 	 47
1 	 chr4 	 46 	 chr4 	 70
1 	 chr4 	 46 	 chr4 	 127
1 	 chr4 	 47 	 chr4 	 47
1 	 chr4 	 47 	 chr4 	 48
1 	 chr4 	 47 	 chr4 	 63
4 	 chr4 	 48 	 chr4 	 48
1 	 chr4 	 48 	 chr4 	 58
1 	 chr4 	 48 	 chr4 	 102
1 	 chr4 	 49 	 chr4 	 49
1 	 chr4 	 51 	 chr4 	 54
1 	 chr4 	 51 	 chr4 	 73
1 	 chr4 	 52 	 chr4 	 53
1 	 chr4 	 53 	 chr4 	 74
2 	 chr4 	 54 	 chr4 	 54
1 	 chr4 	 54 	 chr4 	 70
1 	 chr4 	 55 	 chr4 	 57
3 	 chr4 	 57 	 chr4 	 58
1 	 chr4 	 57 	 chr4 	 73
1 	 chr4 	 57 	 chr4 	 83
1 	 chr4 	 57 	 chr4 	 118
1 	 chr4 	 58 	 chr4 	 58
1 	 chr4 	 58 	 chr4 	 67
1 	 chr4 	 58 	 chr4 	 84
1 	 chr4 	 59 	 chr4 	 83
1 	 chr4 	 60 	 chr4 	 60
1 	 chr4 	 60 	 chr4 	 73
1 	 chr4 	 60 	 chr4 	 92
1 	 chr4 	 63 	 chr4 	 88
3 	 chr4 	 64 	 chr4 	 64
1 	 chr4 	 64 	 chr4 	 67
1 	 chr4 	 65 	 chr4 	 67
1 	 chr4 	 65 	 chr4 	 69
1 	 chr4 	 65 	 chr4 	 73
1 	 chr4 	 65 	 chr4 	 74
1 	 chr4 	 65 	 chr4 	 89
1 	 chr4 	 65 	 chr4 	 549
1 	 chr4 	 67 	 chr4 	 67
4 	 chr4 	 67 	 chr4 	 69
1 	 chr4 	 68 	 chr4 	 73
1 	 chr4 	 68 	 chr4 	 74
1 	 chr4 	 68 	 chr4 	 81
1 	 chr4 	 70 	 chr4 	 70
3 	 chr4 	 70 	 chr4 	 73
1 	 chr4 	 72 	 chr4 	 74
1 	 chr4 	 73 	 chr4 	 73
5 	 chr4 	 73 	 chr4 	 74
2 	 chr4 	 73 	 chr4 	 76
1 	 chr4 	 73 	 chr4 	 81
1 	 chr4 	 75 	 chr4 	 75
1 	 chr4 	 75 	 chr4 	 137
1 	 chr4 	 75 	 chr4 	 376
2 	 chr4 	 77 	 chr4 	 77
1 	 chr4 	 77 	 chr4 	 97
1 	 chr4 	 77 	 chr4 	 102
2 	 chr4 	 78 	 chr4 	 79
1 	 chr4 	 78 	 chr4 	 122
1 	 chr4 	 79 	 chr4 	 79
3 	 chr4 	 79 	 chr4 	 80
1 	 chr4 	 79 	 chr4 	 81
1 	 chr4 	 79 	 chr4 	 85
1 	 chr4 	 80 	 chr4 	 81
1 	 chr4 	 81 	 chr4 	 81
1 	 chr4 	 81 	 chr4 	 83
1 	 chr4 	 81 	 chr4 	 89
1 	 chr4 	 81 	 chr4 	 102
1 	 chr4 	 84 	 chr4 	 84
2 	 chr4 	 84 	 chr4 	 85
1 	 chr4 	 84 	 chr4 	 116
1 	 chr4 	 85 	 chr4 	 85
1 	 chr4 	 85 	 chr4 	 86
2 	 chr4 	 85 	 chr4 	 87
1 	 chr4 	 85 	 chr4 	 121
3 	 chr4 	 86 	 chr4 	 87
1 	 chr4 	 86 	 chr4 	 118
1 	 chr4 	 88 	 chr4 	 89
1 	 chr4 	 89 	 chr4 	 89
1 	 chr4 	 89 	 chr4 	 90
1 	 chr4 	 91 	 chr4 	 92
1 	 chr4 	 92 	 chr4 	 93
1 	 chr4 	 93 	 chr4 	 94
1 	 chr4 	 93 	 chr4 	 372
1 	 chr4 	 94 	 chr4 	 94
2 	 chr4 	 94 	 chr4 	 95
1 	 chr4 	 94 	 chr4 	 99
2 	 chr4 	 94 	 chr4 	 102
1 	 chr4 	 94 	 chr4 	 118
1 	 chr4 	 94 	 chr4 	 128
1 	 chr4 	 95 	 chr4 	 95
3 	 chr4 	 95 	 chr4 	 96
1 	 chr4 	 95 	 chr4 	 102
1 	 chr4 	 95 	 chr4 	 124
1 	 chr4 	 96 	 chr4 	 97
1 	 chr4 	 99 	 chr4 	 100
1 	 chr4 	 99 	 chr4 	 112
2 	 chr4 	 100 	 chr4 	 100
1 	 chr4 	 100 	 chr4 	 101
1 	 chr4 	 101 	 chr4 	 102
3 	 chr4 	 102 	 chr4 	 102
1 	 chr4 	 102 	 chr4 	 103
1 	 chr4 	 102 	 chr4 	 104
1 	 chr4 	 102 	 chr4 	 106
1 	 chr4 	 102 	 chr4 	 110
1 	 chr4 	 102 	 chr4 	 128
1 	 chr4 	 104 	 chr4 	 104
1 	 chr4 	 104 	 chr4 	 105
1 	 chr4 	 104 	 chr4 	 138
1 	 chr4 	 106 	 chr4 	 109
1 	 chr4 	 106 	 chr4 	 110
1 	 chr4 	 106 	 chr4 	 116
1 	 chr4 	 109 	 chr4 	 109
1 	 chr4 	 110 	 chr4 	 110
1 	 chr4 	 110 	 chr4 	 112
1 	 chr4 	 110 	 chr4 	 115
1 	 chr4 	 110 	 chr4 	 118
1 	 chr4 	 110 	 chr4 	 124
1 	 chr4 	 110 	 chr4 	 126
2 	 chr4 	 111 	 chr4 	 116
2 	 chr4 	 112 	 chr4 	 112
1 	 chr4 	 112 	 chr4 	 116
1 	 chr4 	 112 	 chr4 	 131
1 	 chr4 	 115 	 chr4 	 116
2 	 chr4 	 116 	 chr4 	 116
1 	 chr4 	 116 	 chr4 	 117
1 	 chr4 	 116 	 chr4 	 118
1 	 chr4 	 116 	 chr4 	 124
2 	 chr4 	 117 	 chr4 	 118
3 	 chr4 	 118 	 chr4 	 120
3 	 chr4 	 118 	 chr4 	 121
1 	 chr4 	 118 	 chr4 	 131
1 	 chr4 	 120 	 chr4 	 121
1 	 chr4 	 121 	 chr4 	 121
4 	 chr4 	 121 	 chr4 	 122
2 	 chr4 	 123 	 chr4 	 123
3 	 chr4 	 123 	 chr4 	 124
1 	 chr4 	 124 	 chr4 	 124
1 	 chr4 	 124 	 chr4 	 125
2 	 chr4 	 124 	 chr4 	 126
2 	 chr4 	 124 	 chr4 	 127
1 	 chr4 	 124 	 chr4 	 138
1 	 chr4 	 124 	 chr4 	 1001
1 	 chr4 	 125 	 chr4 	 125
3 	 chr4 	 125 	 chr4 	 127
1 	 chr4 	 125 	 chr4 	 131
1 	 chr4 	 126 	 chr4 	 126
1 	 chr4 	 128 	 chr4 	 128
2 	 chr4 	 128 	 chr4 	 129
1 	 chr4 	 129 	 chr4 	 130
1 	 chr4 	 129 	 chr4 	 137
1 	 chr4 	 131 	 chr4 	 131
1 	 chr4 	 131 	 chr4 	 132
3 	 chr4 	 131 	 chr4 	 134
1 	 chr4 	 132 	 chr4 	 134
1 	 chr4 	 133 	 chr4 	 134
1 	 chr4 	 134 	 chr4 	 134
1 	 chr4 	 134 	 chr4 	 136
2 	 chr4 	 134 	 chr4 	 137
1 	 chr4 	 137 	 chr4 	 137
3 	 chr4 	 137 	 chr4 	 138
4 	 chr4 	 138 	 chr4 	 138
1 	 chr4 	 339 	 chr4 	 341
1 	 chr4 	 371 	 chr4 	 371
1 	 chr4 	 376 	 chr4 	 376
1 	 chr4 	 379 	 chr4 	 379
1 	 chr4 	 697 	 chr4 	 697
1 	 chr4 	 886 	 chr4 	 886
1 	 chr4 	 1756 	 chr4 	 1756
