# 2 14723 2 14723
2 	 chr4 	 2 	 chr4 	 2
1 	 chr4 	 42 	 chr4 	 69
1 	 chr4 	 43 	 chr4 	 60
1 	 chr4 	 45 	 chr4 	 88
1 	 chr4 	 46 	 chr4 	 46
1 	 chr4 	 46 	 chr4 	 47
1 	 chr4 	 46 	 chr4 	 70
1 	 chr4 	 46 	 chr4 	 127
1 	 chr4 	 47 	 chr4 	 47
1 	 chr4 	 47 	 chr4 	 48
1 	 chr4 	 47 	 chr4 	 63
4 	 chr4 	 48 	 chr4 	 48
1 	 chr4 	 48 	 chr4 	 58
1 	 chr4 	 48 	 chr4 	 102
1 	 chr4 	 49 	 chr4 	 49
1 	 chr4 	 51 	 chr4 	 54
1 	 chr4 	 51 	 chr4 	 73
1 	 chr4 	 52 	 chr4 	 53
1 	 chr4 	 53 	 chr4 	 74
2 	 chr4 	 54 	 chr4 	 54
1 	 chr4 	 54 	 chr4 	 70
1 	 chr4 	 55 	 chr4 	 57
3 	 chr4 	 57 	 chr4 	 58
1 	 chr4 	 57 	 chr4 	 73
1 	 chr4 	 57 	 chr4 	 83
1 	 chr4 	 57 	 chr4 	 118
1 	 chr4 	 58 	 chr4 	 58
1 	 chr4 	 58 	 chr4 	 67
1 	 chr4 	 58 	 chr4 	 84
1 	 chr4 	 59 	 chr4 	 83
1 	 chr4 	 60 	 chr4 	 60
1 	 chr4 	 60 	 chr4 	 73
1 	 chr4 	 60 	 chr4 	 92
1 	 chr4 	 63 	 chr4 	 88
3 	 chr4 	 64 	 chr4 	 64
1 	 chr4 	 64 	 chr4 	 67
1 	 chr4 	 65 	 chr4 	 67
1 	 chr4 	 65 	 chr4 	 69
1 	 chr4 	 65 	 chr4 	 73
1 	 chr4 	 65 	 chr4 	 74
1 	 chr4 	 65 	 chr4 	 89
1 	 chr4 	 65 	 chr4 	 549
1 	 chr4 	 67 	 chr4 	 67
4 	 chr4 	 67 	 chr4 	 69
1 	 chr4 	 68 	 chr4 	 73
1 	 chr4 	 68 	 chr4 	 74
1 	 chr4 	 68 	 chr4 	 81
1 	 chr4 	 70 	 chr4 	 70
3 	 chr4 	 70 	 chr4 	 73
1 	 chr4 	 72 	 chr4 	 74
1 	 chr4 	 73 	 chr4 	 73
5 	 chr4 	 73 	 chr4 	 74
2 	 chr4 	 73 	 chr4 	 76
1 	 chr4 	 73 	 chr4 	 81
1 	 chr4 	 75 	 chr4 	 75
1 	 chr4 	 75 	 chr4 	 137
1 	 chr4 	 75 	 chr4 	 376
2 	 chr4 	 77 	 chr4 	 77
1 	 chr4 	 77 	 chr4 	 97
1 	 chr4 	 77 	 chr4 	 102
2 	 chr4 	 78 	 chr4 	 79
1 	 chr4 	 78 	 chr4 	 122
1 	 chr4 	 79 	 chr4 	 79
3 	 chr4 	 79 	 chr4 	 80
1 	 chr4 	 79 	 chr4 	 81
1 	 chr4 	 79 	 chr4 	 85
1 	 chr4 	 80 	 chr4 	 81
1 	 chr4 	 81 	 chr4 	 81
1 	 chr4 	 81 	 chr4 	 83
1 	 chr4 	 81 	 chr4 	 89
1 	 chr4 	 81 	 chr4 	 102
1 	 chr4 	 84 	 chr4 	 84
2 	 chr4 	 84 	 chr4 	 85
1 	 chr4 	 84 	 chr4 	 116
1 	 chr4 	 85 	 chr4 	 85
1 	 chr4 	 85 	 chr4 	 86
2 	 chr4 	 85 	 chr4 	 87
1 	 chr4 	 85 	 chr4 	 121
3 	 chr4 	 86 	 chr4 	 87
1 	 chr4 	 86 	 chr4 	 118
1 	 chr4 	 88 	 chr4 	 89
1 	 chr4 	 89 	 chr4 	 89
1 	 chr4 	 89 	 chr4 	 90
1 	 chr4 	 91 	 chr4 	 92
1 	 chr4 	 92 	 chr4 	 93
1 	 chr4 	 93 	 chr4 	 94
1 	 chr4 	 93 	 chr4 	 372
1 	 chr4 	 94 	 chr4 	 94
2 	 chr4 	 94 	 chr4 	 95
1 	 chr4 	 94 	 chr4 	 99
2 	 chr4 	 94 	 chr4 	 102
1 	 chr4 	 94 	 chr4 	 118
1 	 chr4 	 94 	 chr4 	 128
1 	 chr4 	 95 	 chr4 	 95
3 	 chr4 	 95 	 chr4 	 96
1 	 chr4 	 95 	 chr4 	 102
1 	 chr4 	 95 	 chr4 	 124
1 	 chr4 	 96 	 chr4 	 97
1 	 chr4 	 99 	 chr4 	 100
1 	 chr4 	 99 	 chr4 	 112
2 	 chr4 	 100 	 chr4 	 100
1 	 chr4 	 100 	 chr4 	 101
1 	 chr4 	 101 	 chr4 	 102
3 	 chr4 	 102 	 chr4 	 102
1 	 chr4 	 102 	 chr4 	 103
1 	 chr4 	 102 	 chr4 	 104
1 	 chr4 	 102 	 chr4 	 106
1 	 chr4 	 102 	 chr4 	 110
1 	 chr4 	 102 	 chr4 	 128
1 	 chr4 	 104 	 chr4 	 104
1 	 chr4 	 104 	 chr4 	 105
1 	 chr4 	 104 	 chr4 	 138
1 	 chr4 	 106 	 chr4 	 109
1 	 chr4 	 106 	 chr4 	 110
1 	 chr4 	 106 	 chr4 	 116
1 	 chr4 	 109 	 chr4 	 109
1 	 chr4 	 110 	 chr4 	 110
1 	 chr4 	 110 	 chr4 	 112
1 	 chr4 	 110 	 chr4 	 115
1 	 chr4 	 110 	 chr4 	 118
1 	 chr4 	 110 	 chr4 	 124
1 	 chr4 	 110 	 chr4 	 126
2 	 chr4 	 111 	 chr4 	 116
2 	 chr4 	 112 	 chr4 	 112
1 	 chr4 	 112 	 chr4 	 116
1 	 chr4 	 112 	 chr4 	 131
1 	 chr4 	 115 	 chr4 	 116
2 	 chr4 	 116 	 chr4 	 116
1 	 chr4 	 116 	 chr4 	 117
1 	 chr4 	 116 	 chr4 	 118
1 	 chr4 	 116 	 chr4 	 124
2 	 chr4 	 117 	 chr4 	 118
3 	 chr4 	 118 	 chr4 	 120
3 	 chr4 	 118 	 chr4 	 121
1 	 chr4 	 118 	 chr4 	 131
1 	 chr4 	 120 	 chr4 	 121
1 	 chr4 	 121 	 chr4 	 121
4 	 chr4 	 121 	 chr4 	 122
2 	 chr4 	 123 	 chr4 	 123
3 	 chr4 	 123 	 chr4 	 124
1 	 chr4 	 124 	 chr4 	 124
1 	 chr4 	 124 	 chr4 	 125
2 	 chr4 	 124 	 chr4 	 126
2 	 chr4 	 124 	 chr4 	 127
1 	 chr4 	 124 	 chr4 	 138
1 	 chr4 	 124 	 chr4 	 1001
1 	 chr4 	 125 	 chr4 	 125
3 	 chr4 	 125 	 chr4 	 127
1 	 chr4 	 125 	 chr4 	 131
1 	 chr4 	 126 	 chr4 	 126
1 	 chr4 	 128 	 chr4 	 128
2 	 chr4 	 128 	 chr4 	 129
1 	 chr4 	 129 	 chr4 	 130
1 	 chr4 	 129 	 chr4 	 137
1 	 chr4 	 131 	 chr4 	 131
1 	 chr4 	 131 	 chr4 	 132
3 	 chr4 	 131 	 chr4 	 134
1 	 chr4 	 132 	 chr4 	 134
1 	 chr4 	 133 	 chr4 	 134
1 	 chr4 	 134 	 chr4 	 134
1 	 chr4 	 134 	 chr4 	 136
2 	 chr4 	 134 	 chr4 	 137
1 	 chr4 	 137 	 chr4 	 137
3 	 chr4 	 137 	 chr4 	 138
4 	 chr4 	 138 	 chr4 	 138
1 	 chr4 	 303 	 chr4 	 13451
1 	 chr4 	 339 	 chr4 	 341
1 	 chr4 	 371 	 chr4 	 371
1 	 chr4 	 376 	 chr4 	 376
1 	 chr4 	 379 	 chr4 	 379
1 	 chr4 	 697 	 chr4 	 697
1 	 chr4 	 886 	 chr4 	 886
1 	 chr4 	 1756 	 chr4 	 1756
1 	 chr4 	 2140 	 chr4 	 2140
1 	 chr4 	 2257 	 chr4 	 2257
1 	 chr4 	 2542 	 chr4 	 2542
1 	 chr4 	 2613 	 chr4 	 2613
1 	 chr4 	 2781 	 chr4 	 2781
1 	 chr4 	 3074 	 chr4 	 3074
1 	 chr4 	 3194 	 chr4 	 3194
1 	 chr4 	 3194 	 chr4 	 3195
4 	 chr4 	 3194 	 chr4 	 3207
1 	 chr4 	 3194 	 chr4 	 3216
1 	 chr4 	 3194 	 chr4 	 3283
1 	 chr4 	 3195 	 chr4 	 3199
2 	 chr4 	 3195 	 chr4 	 3200
1 	 chr4 	 3195 	 chr4 	 3201
1 	 chr4 	 3195 	 chr4 	 4918
1 	 chr4 	 3196 	 chr4 	 3198
1 	 chr4 	 3196 	 chr4 	 3203
1 	 chr4 	 3196 	 chr4 	 3206
1 	 chr4 	 3197 	 chr4 	 3206
1 	 chr4 	 3198 	 chr4 	 3202
1 	 chr4 	 3198 	 chr4 	 3213
2 	 chr4 	 3199 	 chr4 	 3200
1 	 chr4 	 3199 	 chr4 	 3208
1 	 chr4 	 3199 	 chr4 	 3210
1 	 chr4 	 3199 	 chr4 	 3215
6 	 chr4 	 3200 	 chr4 	 3200
4 	 chr4 	 3200 	 chr4 	 3201
3 	 chr4 	 3200 	 chr4 	 3202
2 	 chr4 	 3200 	 chr4 	 3203
4 	 chr4 	 3200 	 chr4 	 3207
1 	 chr4 	 3200 	 chr4 	 3210
1 	 chr4 	 3200 	 chr4 	 3216
1 	 chr4 	 3201 	 chr4 	 3203
1 	 chr4 	 3201 	 chr4 	 3206
1 	 chr4 	 3201 	 chr4 	 3208
1 	 chr4 	 3201 	 chr4 	 3216
1 	 chr4 	 3202 	 chr4 	 3206
1 	 chr4 	 3203 	 chr4 	 3206
3 	 chr4 	 3203 	 chr4 	 3207
1 	 chr4 	 3203 	 chr4 	 3208
1 	 chr4 	 3203 	 chr4 	 3216
2 	 chr4 	 3206 	 chr4 	 3206
1 	 chr4 	 3206 	 chr4 	 3207
1 	 chr4 	 3206 	 chr4 	 3218
1 	 chr4 	 3209 	 chr4 	 3215
1 	 chr4 	 3214 	 chr4 	 3215
7 	 chr4 	 3283 	 chr4 	 3283
1 	 chr4 	 3283 	 chr4 	 9836
1 	 chr4 	 3588 	 chr4 	 3588
1 	 chr4 	 3634 	 chr4 	 3635
1 	 chr4 	 3860 	 chr4 	 3860
1 	 chr4 	 4140 	 chr4 	 4140
1 	 chr4 	 4318 	 chr4 	 4318
1 	 chr4 	 4397 	 chr4 	 4397
1 	 chr4 	 4700 	 chr4 	 4700
1 	 chr4 	 4921 	 chr4 	 4921
1 	 chr4 	 5651 	 chr4 	 5651
1 	 chr4 	 5831 	 chr4 	 5831
1 	 chr4 	 6130 	 chr4 	 6297
1 	 chr4 	 6351 	 chr4 	 6351
1 	 chr4 	 7340 	 chr4 	 7340
1 	 chr4 	 7609 	 chr4 	 7609
1 	 chr4 	 7809 	 chr4 	 7820
1 	 chr4 	 8176 	 chr4 	 8177
1 	 chr4 	 8618 	 chr4 	 8618
1 	 chr4 	 8620 	 chr4 	 8622
1 	 chr4 	 8620 	 chr4 	 8623
1 	 chr4 	 8625 	 chr4 	 8626
1 	 chr4 	 8627 	 chr4 	 8629
1 	 chr4 	 8630 	 chr4 	 8630
1 	 chr4 	 8645 	 chr4 	 8645
1 	 chr4 	 8652 	 chr4 	 8652
1 	 chr4 	 8652 	 chr4 	 8654
1 	 chr4 	 8677 	 chr4 	 8677
1 	 chr4 	 8716 	 chr4 	 8738
1 	 chr4 	 8738 	 chr4 	 8739
1 	 chr4 	 8794 	 chr4 	 8794
1 	 chr4 	 9318 	 chr4 	 9988
1 	 chr4 	 9326 	 chr4 	 10066
1 	 chr4 	 9329 	 chr4 	 10006
1 	 chr4 	 9330 	 chr4 	 9332
1 	 chr4 	 9333 	 chr4 	 10073
1 	 chr4 	 9365 	 chr4 	 10007
1 	 chr4 	 9366 	 chr4 	 9829
1 	 chr4 	 9431 	 chr4 	 9671
1 	 chr4 	 9443 	 chr4 	 9722
1 	 chr4 	 9443 	 chr4 	 10006
1 	 chr4 	 9493 	 chr4 	 9493
1 	 chr4 	 9503 	 chr4 	 9511
1 	 chr4 	 9526 	 chr4 	 9527
2 	 chr4 	 9562 	 chr4 	 9562
1 	 chr4 	 9562 	 chr4 	 9563
1 	 chr4 	 9565 	 chr4 	 9568
1 	 chr4 	 9565 	 chr4 	 10056
1 	 chr4 	 9573 	 chr4 	 9576
1 	 chr4 	 9576 	 chr4 	 9904
1 	 chr4 	 9613 	 chr4 	 9665
1 	 chr4 	 9621 	 chr4 	 9984
1 	 chr4 	 9645 	 chr4 	 9645
1 	 chr4 	 9665 	 chr4 	 9666
1 	 chr4 	 9670 	 chr4 	 9670
1 	 chr4 	 9671 	 chr4 	 9686
1 	 chr4 	 9676 	 chr4 	 9678
1 	 chr4 	 9681 	 chr4 	 9682
1 	 chr4 	 9681 	 chr4 	 9695
1 	 chr4 	 9683 	 chr4 	 9684
1 	 chr4 	 9684 	 chr4 	 9816
1 	 chr4 	 9688 	 chr4 	 9690
1 	 chr4 	 9689 	 chr4 	 9689
1 	 chr4 	 9691 	 chr4 	 9831
1 	 chr4 	 9723 	 chr4 	 9723
1 	 chr4 	 9733 	 chr4 	 10062
3 	 chr4 	 9776 	 chr4 	 9776
1 	 chr4 	 9779 	 chr4 	 9779
2 	 chr4 	 9790 	 chr4 	 9790
1 	 chr4 	 9813 	 chr4 	 9813
1 	 chr4 	 9820 	 chr4 	 9822
1 	 chr4 	 9822 	 chr4 	 9822
1 	 chr4 	 9824 	 chr4 	 9837
1 	 chr4 	 9824 	 chr4 	 9857
1 	 chr4 	 9835 	 chr4 	 9840
1 	 chr4 	 9836 	 chr4 	 9837
1 	 chr4 	 9852 	 chr4 	 9899
1 	 chr4 	 9869 	 chr4 	 10025
1 	 chr4 	 9877 	 chr4 	 9877
1 	 chr4 	 9913 	 chr4 	 9913
1 	 chr4 	 9922 	 chr4 	 9922
1 	 chr4 	 9974 	 chr4 	 9975
1 	 chr4 	 10015 	 chr4 	 10096
1 	 chr4 	 10082 	 chr4 	 10083
1 	 chr4 	 10090 	 chr4 	 10090
1 	 chr4 	 10209 	 chr4 	 10209
1 	 chr4 	 10240 	 chr4 	 10240
1 	 chr4 	 10636 	 chr4 	 10636
1 	 chr4 	 11010 	 chr4 	 11010
1 	 chr4 	 11064 	 chr4 	 11064
1 	 chr4 	 11849 	 chr4 	 11849
1 	 chr4 	 12065 	 chr4 	 12079
1 	 chr4 	 12067 	 chr4 	 12085
1 	 chr4 	 12072 	 chr4 	 12620
1 	 chr4 	 12074 	 chr4 	 12074
1 	 chr4 	 12077 	 chr4 	 13466
1 	 chr4 	 12079 	 chr4 	 12081
1 	 chr4 	 12619 	 chr4 	 12619
1 	 chr4 	 12791 	 chr4 	 12793
1 	 chr4 	 12793 	 chr4 	 12796
1 	 chr4 	 12802 	 chr4 	 12802
1 	 chr4 	 12993 	 chr4 	 12993
1 	 chr4 	 13314 	 chr4 	 13314
1 	 chr4 	 13316 	 chr4 	 13316
1 	 chr4 	 13415 	 chr4 	 13418
1 	 chr4 	 13416 	 chr4 	 13455
1 	 chr4 	 13417 	 chr4 	 13421
1 	 chr4 	 13423 	 chr4 	 13423
1 	 chr4 	 13459 	 chr4 	 13459
1 	 chr4 	 13531 	 chr4 	 13534
1 	 chr4 	 13700 	 chr4 	 13700
1 	 chr4 	 14003 	 chr4 	 14003
1 	 chr4 	 14004 	 chr4 	 14004
1 	 chr4 	 14075 	 chr4 	 14076
1 	 chr4 	 14075 	 chr4 	 14083
1 	 chr4 	 14083 	 chr4 	 14083
1 	 chr4 	 14723 	 chr4 	 14723
